epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.25297,0.81918,3.69036,0.88083,0.02027,0.80482,0.21565,0.13476,0.68848,3.72273,0.80586,0.00020907,0.00020907,0.00020907
2,3.89186,0.67789,1.66003,0.82913,0.02757,0.9966,0.83239,0.68222,0.58125,2.93494,0.81689,0.000384934,0.000384934,0.000384934
3,5.54039,0.61373,0.86407,0.8213,0.99631,0.50786,0.9843,0.84968,0.60538,2.08058,0.82571,0.000517603,0.000517603,0.000517603
4,7.16068,0.5855,0.73998,0.81783,0.98766,0.84924,0.98621,0.85276,0.59004,1.44469,0.8243,0.000607076,0.000607076,0.000607076
5,8.85898,0.55759,0.68929,0.80895,0.97626,0.98944,0.98615,0.86986,0.54346,0.7725,0.8158,0.000549036,0.000549036,0.000549036
6,10.4771,0.54197,0.64402,0.80579,0.98051,0.98944,0.98657,0.87836,0.50737,0.56778,0.80626,0.000459045,0.000459045,0.000459045
7,12.0925,0.51803,0.59061,0.8101,0.98802,0.98944,0.98563,0.88114,0.51535,0.49637,0.80646,0.000369054,0.000369054,0.000369054
8,13.7213,0.49908,0.5505,0.80811,0.98803,0.98944,0.9848,0.88644,0.48407,0.45933,0.79911,0.000279063,0.000279063,0.000279063
9,15.3436,0.48516,0.53688,0.80304,0.98972,0.98944,0.98476,0.89204,0.46919,0.43189,0.79829,0.000189072,0.000189072,0.000189072
10,16.9549,0.47002,0.517,0.80554,0.98969,0.98944,0.9849,0.88974,0.46012,0.41621,0.79771,9.9081e-05,9.9081e-05,9.9081e-05
