epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.17795,0.75393,3.38975,0.93122,0.24361,0.53304,0.41513,0.36864,0.50603,2.03046,0.84196,0.07723,0.00023,0.00023
2,16.0558,0.53922,1.27758,0.84943,0.89383,0.9537,0.95736,0.85902,0.46749,0.76919,0.81293,0.0534607,0.000460694,0.000460694
3,23.9604,0.4965,0.65242,0.82689,0.96933,0.98865,0.98343,0.89206,0.44241,0.49235,0.80608,0.0296819,0.000681884,0.000681884
4,31.7827,0.487,0.52116,0.82287,0.97119,0.98944,0.98185,0.88241,0.47487,0.41717,0.81668,0.00589357,0.00089357,0.00089357
5,39.576,0.49248,0.46814,0.82327,0.98986,0.98944,0.98284,0.88957,0.47298,0.35498,0.81391,0.0009208,0.0009208,0.0009208
6,47.3677,0.48455,0.42049,0.81824,0.98914,0.98944,0.98314,0.88898,0.46633,0.34843,0.81344,0.000901,0.000901,0.000901
7,55.1649,0.46698,0.40661,0.8197,0.98808,0.98944,0.98278,0.88918,0.46637,0.31062,0.81316,0.0008812,0.0008812,0.0008812
8,62.9644,0.47288,0.37464,0.81958,0.98938,0.98944,0.9843,0.8951,0.4431,0.29173,0.80663,0.0008614,0.0008614,0.0008614
9,70.8655,0.45883,0.36976,0.81694,0.98987,0.98944,0.98597,0.89979,0.43222,0.28618,0.80582,0.0008416,0.0008416,0.0008416
10,78.6974,0.45441,0.35759,0.81514,0.99031,0.98944,0.9872,0.89754,0.44016,0.27992,0.80646,0.0008218,0.0008218,0.0008218
11,86.5102,0.46174,0.3512,0.81124,0.99125,0.98944,0.98707,0.90435,0.43509,0.27362,0.80474,0.000802,0.000802,0.000802
12,94.349,0.45039,0.34247,0.81841,0.99046,0.98944,0.98638,0.90489,0.44115,0.27399,0.80648,0.0007822,0.0007822,0.0007822
13,102.188,0.45184,0.3419,0.81452,0.99067,0.98944,0.986,0.90941,0.43043,0.2713,0.80561,0.0007624,0.0007624,0.0007624
14,110.088,0.45071,0.32975,0.81526,0.99004,0.98944,0.98597,0.89911,0.44693,0.27276,0.80818,0.0007426,0.0007426,0.0007426
15,117.915,0.44152,0.32457,0.81207,0.99118,0.98944,0.9872,0.911,0.42943,0.26538,0.80471,0.0007228,0.0007228,0.0007228
16,125.79,0.43612,0.31051,0.81164,0.99088,0.98944,0.98774,0.91018,0.41955,0.26186,0.80406,0.000703,0.000703,0.000703
17,133.633,0.43651,0.32687,0.80987,0.99074,0.98944,0.98714,0.91029,0.42372,0.27791,0.80458,0.0006832,0.0006832,0.0006832
18,141.492,0.43281,0.30378,0.81209,0.99102,0.98944,0.9869,0.91419,0.42083,0.26211,0.80288,0.0006634,0.0006634,0.0006634
19,149.403,0.42813,0.30202,0.81099,0.99045,0.98944,0.9869,0.9103,0.41531,0.26591,0.80174,0.0006436,0.0006436,0.0006436
20,157.241,0.43171,0.30772,0.80819,0.99041,0.98944,0.9863,0.9138,0.40934,0.2579,0.80132,0.0006238,0.0006238,0.0006238
21,165.081,0.42109,0.30267,0.80948,0.99106,0.98944,0.98678,0.914,0.41749,0.26232,0.8034,0.000604,0.000604,0.000604
22,172.924,0.42823,0.3115,0.81443,0.99117,0.98944,0.98703,0.91323,0.41664,0.25724,0.8041,0.0005842,0.0005842,0.0005842
23,180.755,0.42372,0.29626,0.80689,0.99121,0.98944,0.98655,0.91743,0.41371,0.25538,0.80265,0.0005644,0.0005644,0.0005644
24,188.662,0.42365,0.29788,0.80777,0.99093,0.98944,0.98752,0.91939,0.4101,0.26688,0.80292,0.0005446,0.0005446,0.0005446
