epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.74037,5.92195,14.0843,5.41656,4.24941,0,0,0,0,0,0,0,0,6.39629,5.17674,4.55105,4.18,0.00020907,0.00020907,0.00020907
2,8.84011,5.47917,5.57543,4.92183,3.90559,0,0,0,0,0,0,0,0,6.43537,5.16772,4.56872,4.25186,0.000423,0.000423,0.000423
3,12.9301,4.1251,4.45904,3.85528,3.16251,0,0,0,0,0,0,0,0,6.42012,5.11154,4.6209,4.20485,0.000632611,0.000632611,0.000632611
4,16.9941,2.8381,2.76912,2.45846,2.43187,0,0,0,0,0,0,0,0,4.39641,4.3674,4.54732,2.95463,0.000837903,0.000837903,0.000837903
5,21.1089,2.29745,1.87192,1.72287,2.02524,0.6409,0.49296,0.57176,0.25755,0.67133,0.50352,0.6245,0.313,2.10775,1.89497,2.08945,1.99488,0.000873004,0.000873004,0.000873004
6,25.2285,2.00842,1.58038,1.47653,1.81456,0.6245,0.61972,0.69966,0.28488,0.73269,0.69718,0.77851,0.40049,2.1419,1.875,1.28371,1.90542,0.000864004,0.000864004,0.000864004
7,29.3462,1.84593,1.41909,1.31918,1.66816,0.68849,0.73152,0.75507,0.38955,0.70156,0.75325,0.77526,0.50641,1.74408,1.14896,1.12166,1.73435,0.000855005,0.000855005,0.000855005
8,33.4131,1.73069,1.29283,1.23605,1.60575,0.92102,0.77465,0.89009,0.42543,0.92464,0.7777,0.89966,0.649,1.86581,1.08253,1.05801,1.73069,0.000846006,0.000846006,0.000846006
9,37.5377,1.56608,1.20363,1.1115,1.45619,0.80658,0.86633,0.91393,0.56298,0.80898,0.87676,0.92153,0.62773,1.45492,1.02909,0.94936,1.5571,0.000837007,0.000837007,0.000837007
10,41.6094,1.47387,1.13917,1.0517,1.4339,0.9053,0.90884,0.97357,0.64758,0.9053,0.90884,0.97357,0.70419,1.29119,0.9233,0.84202,1.3706,0.000828008,0.000828008,0.000828008
11,45.6931,1.43845,1.11961,1.0205,1.39916,0.93475,0.77465,0.94033,0.63563,0.93475,0.77465,0.94033,0.67093,1.26166,0.99996,0.9122,1.38979,0.000819009,0.000819009,0.000819009
12,49.7916,1.33559,1.05609,0.94936,1.33192,0.95143,0.89668,0.98077,0.62793,0.95143,0.89668,0.98077,0.75507,1.35064,0.96392,0.81975,1.34494,0.00081001,0.00081001,0.00081001
